question,context
What was the impact of omentectomy on postoperative sepsis in patients undergoing proctocolectomy and ileoanal anastomosis?,"Let sleeping dogs lie: role of the omentum in the ileal pouch-anal anastomosis procedure. A surgical aphorism has long held that the omentum is the ""watchdog of the abdomen."" However, detractors believe that leaving the omentum behind after colectomy precipitates later small bowel obstruction. A retrospective comparison was made between a group of 406 patients (Group I) having omentectomy with proctocolectomy and ileoanal anastomosis and a group of 239 patients (Group II) having a similar procedure without omentectomy. Follow-up in this series of 645 patients was 4.3 +/- 2.1 years (mean +/- SEM). No difference was present in the rate of partial small bowel obstruction or complete small bowel obstruction between Group I patients (32 percent partial, 12 percent complete) and Group II patients (29 percent partial, 12 percent complete; P greater than 0.1). However, a better outcome with regard to postoperative sepsis and sepsis requiring operation was apparent in Group II patients retaining the omentum (4 percent and 3 percent, respectively) than in Group I patients (10 percent and 8 percent, respectively), in whom the omentum was removed (P less than 0.01). As this experience would support, we urge surgeons to ""let sleeping dogs lie"" and, when possible, retain the omentum when performing colectomy or proctocolectomy."
What was the effectiveness of fluconazole in treating hepatosplenic candidiasis in patients who did not respond to previous antifungal treatments?,"Hepatosplenic candidiasis: successful treatment with fluconazole. PURPOSE: To determine if fluconazole is effective treatment for hepatosplenic candidiasis that has not resolved with amphotericin B and flucytosine treatment. PATIENTS AND METHODS: Six patients (ages 3 to 44) with acute leukemia and hepatosplenic candidiasis who did not respond to prior antifungal therapy were treated with fluconazole. RESULTS: All six patients had fever and three had nausea and vomiting; computed tomographic (CT) scan showed lucencies in the liver in six, lucencies in the spleen in five, and lucencies in the kidneys in three. Prior therapy with 1.6 to 4 g of amphotericin B in the five adults and 526 mg of amphotericin B in the child (with the addition of flucytosine in four) failed to improve clinical symptoms or lucencies in the liver, spleen, and kidneys seen on CT scan. Fluconazole was given at a dose of 200 to 400 mg daily (70 to 100 mg in the child) for 2 to 14 months. All patients had resolution of fever and other symptoms in 2 to 8 weeks. Improvement of the lesions noted on CT scan was seen in 4 to 8 weeks in all patients. Total resolution of lesions noted on CT scan occurred by 4 weeks in two patients, but took 4 to 5 months for three patients and 13 months for one patient. Three patients had relapse of their acute leukemia and two died, presumably cured of their candidiasis. Two patients underwent successful bone marrow transplantation without relapse of their candidiasis. CONCLUSION: Fluconazole appears to be useful in the treatment of hepatosplenic candidiasis that has not resolved with amphotericin B and flucytosine therapy."
How did colchicine affect renal function and fibrosis in a rabbit model of anti-glomerular basement membrane disease?,"Moderate protection of renal function and reduction of fibrosis by colchicine in a model of anti-GBM disease in the rabbit. A rabbit model of renal glomerulosclerosis induced by anti-glomerular basement membrane antibody was used to determine whether colchicine would protect renal function and reduce fibrosis. Initial studies established the time course of renal function changes and fibrosis. Colchicine at a dose of 0.02 to 0.04 mg/kg per day injected ip was begun at day 4 when injury had been initiated, and the experiment was ended at day 21 when fibrotic changes were established. Colchicine significantly reduced the rise in serum creatinine (serum creatinine = 2.7 +/- 0.3 mg% in vehicle-treated animals versus 1.8 +/- 0.1 mg% in colchicine-treated animals) and interstitial fibrosis (fibrosis score = 2.6 +/- 0.2 in vehicle-treated versus 1.5 +/- 0.2 in colchicine-treated animals). Colchicine treatment did not significantly affect weight, anti-guinea pig immunoglobulin level, % fibrocellular crescents formed, hydroxyproline per gram (dry weight) in tissue, or urine protein: creatine ratio. Regression analysis was performed to examine the interrelationships between variables for all animals and the effect of colchicine on pairs of variables. No clear-cut site of colchicine action could be identified. These data show that colchicine, in doses that could be used in humans, protected renal function by about 25% and reduced interstitial fibrosis in a model of severe crescentic nephritis."
What age groups were most affected by diarrheal deaths in the United States between 1979 and 1987?,"Diarrheal deaths in the United States, 1979 through 1987. A special problem for the elderly. OBJECTIVE.--Diarrhea is an important cause of death among young children in both developing and developed countries, but little is known about diarrheal death among adults. In this study, we examined trends in diarrheal deaths among all age groups in the United States. DESIGN/SETTING/PARTICIPANTS.--We reviewed national mortality data complied by the National Center for Health Statistics, Hyattsville, Md, which consists of information from all death certificates filed in the United States for the period 1979 through 1987. A death for which diarrhea was listed as an immediate or underlying cause was considered a ""diarrheal death"" and included in the analysis. RESULTS.--We found that 28,538 persons died of diarrhea cited as either an immediate or the underlying cause of death during the 9-year period. A majority of diarrheal deaths occurred among the elderly (older than 74 years of age, 51%), followed by adults 55 to 74 years of age (27%), and young children (younger than 5 years of age, 11%). For the elderly, adjusted risk factors for dying of diarrhea included being white, female, and residing in a long-term care facility. Only the elderly and young children had clear, distinct winter peaks of diarrheal deaths, suggesting that the diarrhea may, in part, be infectious in origin. CONCLUSION.--For the elderly, more directed studies of those at risk, such as nursing home residents, are needed to determine if oral rehydration therapy, vaccines, or other preventive measures might benefit this population."
What are the acute and chronic hemodynamic effects of xamoterol in patients with mild to moderate congestive heart failure?,"Acute and chronic hemodynamic effects of xamoterol in mild to moderate congestive heart failure. Xamoterol, a new beta 1 partial agonist, has the potential to modulate cardiac response to variations in sympathetic tone in patients with heart failure. Its properties should result in beta-receptor stimulatory effects at low levels of sympathetic tone and beta-receptor protective effects at higher levels of sympathetic tone. The acute effects of intravenous (i.v.) xamoterol on hemodynamics at rest and during exercise were studied in 30 patients with mild to moderate heart failure (13 patients in New York Heart Association class II; 17 in class III) due to ischemic (n = 24) or cardiomyopathic (n = 6) heart disease. Cardiac index, stroke volume and stroke work index at rest were significantly improved after i.v. administration of xamoterol and consistent with net agonist effects. During exercise, heart rate and double product were significantly reduced (net antagonist effects), but with preservation of the expected increases in cardiac index and systolic blood pressure. These hemodynamic findings confirm the ability of xamoterol to modulate cardiac response to variations in sympathetic tone. Tachyphylaxis and arrhythmogenicity limit the chronic use of drugs with full beta-agonist properties as positive inotropes in heart failure. The patients were therefore entered into a 6-month double-blind, placebo-controlled, crossover study of chronic oral xamoterol therapy, 200 mg twice daily, and the hemodynamic responses to i.v. xamoterol were repeated at the end of the trial. No impairment in either resting or exercise effects was observed, indicative of a maintained response and absence of tachyphylaxis after chronic therapy. Furthermore, 24-hour ambulatory electrocardiographic monitoring showed no change in ventricular arrhythmias during oral treatment."
What is the significance of using interphase cytogenetics with in situ hybridization in studying trisomy 12 in chronic lymphocytic leukemia?,"Trisomy 12 in chronic lymphocytic leukemia: an interphase cytogenetic study. Interphase cytogenetics by means of in situ hybridization with the chromosome 12-specific biotinylated alpha satellite DNA probe pSP 12-1 was used for the study of trisomy 12, the most common chromosomal abnormality in chronic lymphocytic leukemia. In situ hybridization was performed on methanol/acetic acid fixed cells of conventional cytogenetic preparations from eight patients and on morphologically and immunologically classified cells of cytospin preparations from seven patients. The results show that trisomy 12 is more common than assumed on the basis of karyotype analysis of metaphase chromosomes: 2 of 13 patients with a normal karyotype in G-banding analysis were shown to have trisomy 12 by interphase cytogenetics. Immunophenotyping of the cells of one patient showed that the trisomy was restricted to cells with Ig light chain clonality. For the evaluation of the prognostic, therapeutic, and biologic significance of trisomy 12, in situ hybridization should be used in parallel with karyotype analysis because it allows the study of all cell populations of both interphase and mitotic cells, whether neoplastic or normal."
What was the primary aim of the 10-year prospective screening study on multiple endocrine neoplasia type 1 (MEN 1)?,"Multiple endocrine neoplasia type 1: a 10-year prospective screening study in four kindreds. A total of 80 individuals in 4 kindreds with multiple endocrine neoplasia type 1 (MEN 1) have been subjected to repeated biochemical screening during a 10-yr period with the principal aim being to analyze characteristics of the developing pancreatic lesion. Age at presentation of the MEN 1 trait averaged 18 yr in 7 previously unaffected individuals, and this effect of the screening procedure represented a lowering by almost 2 decades. Pancreatic endocrine involvement was recognized at a mean age of 25 yr and constituted the presenting lesion in a majority of the patients. A standardized meal test and basal values of serum pancreatic polypeptide, insulin, proinsulin, and gastrin were the most efficient markers for the pancreatic lesion and preceded signs of pancreatic tumors upon radiological examinations by a mean of 3.5 yr. A 75% penetrance of the islet cell disease and 90% for primary hyperparathyroidism within the affected individuals equalled the prevalences reported in autopsy studies. Two of the kindreds showed signs of intrafamilial homogeneity with respect to the profile of peptide excess (P less than 0.05) and considerable discrepancy in the malignant potential of the pancreatic lesions. The results of early detection and surgical intervention of the pancreatic tumors in MEN 1 suggested an impact on morbidity, while any effect on the mortality of these individuals remains to be clarified."
What is the relationship between neurosurgical intervention and the risk of cerebral hemorrhage in patients with cerebral amyloid angiopathy?,"Surgical risk of hemorrhage in cerebral amyloid angiopathy. Cerebral amyloid angiopathy is increasingly recognized as a cause of lobar cerebral hemorrhage in normotensive elderly individuals. Isolated reports have suggested that neurosurgical intervention entails a high risk of precipitated hemorrhage. We identified 16 pathologically confirmed cases of cerebral amyloid angiopathy. Fourteen of these patients presented with lobar cerebral hemorrhage. Fifteen neurosurgical procedures in eight patients included eight clot evacuations, three abscess drainage procedures, two ventriculoperitoneal shunts, one biopsy, and one lobectomy. Recurrent postoperative cerebral hemorrhage was seen in four patients at 2 days, 9 days, 6 weeks, and 10 months, but surgery was thought to have precipitated the cerebral hemorrhage in only one patient. Recurrent cerebral hemorrhage also was seen in two of the eight nonoperated cases. Recurrent cerebral hemorrhage is characteristic of cerebral amyloid angiopathy, but we conclude that neurosurgical intervention, particularly evacuation of hematomas, is not associated with major risk of precipitated hemorrhage."
What is the primary purpose of transvenous endomyocardial biopsy in cardiac transplant recipients?,"Ventricular fibrillation complicating endomyocardial biopsy of a cardiac allograft. Transvenous endomyocardial biopsy remains the most useful diagnostic aid in assessing rejection in the transplanted heart. Although invasive, the complications associated with endomyocardial biopsy are few, and the procedure is generally regarded as safe. We report a case of apparent ventricular fibrillation complicating transvenous endomyocardial biopsy. Histologic section revealed evidence of moderate acute rejection. This case represents the first report of a life threatening ventricular dysrhythmia following routine endomyocardial biopsy in a cardiac transplant recipient."
What percentage of patients had an excellent result after catheter-less suprapubic cystolithotomy in children?,"Catheter-less suprapubic cystolithotomy in children. Bladder stones in children are common in developing countries and the procedure of choice for their removal is suprapubic cystolithotomy. It is standard practice to drain the bladder for a few days post-operatively to prevent urinary leakage. We have observed that, if the bladder is closed meticulously in 2 layers, bladder drainage by means of a catheter is not required. We have analysed 86 children treated by suprapubic cystolithotomy without a catheter. Size of the stones and intra-operative findings were noted and it was found that 85% of the patients had an excellent result; 10% had a satisfactory result and 4.7% were unsatisfactory. The advantages of the procedure and selection of the patients are discussed."
What evidence suggests a potential link between HTLV-I and mycosis fungoides in the study?,"Deleted HTLV-I provirus in blood and cutaneous lesions of patients with mycosis fungoides. Mycosis fungoides, a rare form of cutaneous T cell leukemia/lymphoma, is suspected of having a viral etiology on the basis of certain similarities to adult T cell leukemia, which is associated with human T cell leukemia/lymphoma virus type I (HTLV-I) infection. Cell lines were established from peripheral blood mononuclear cells (PBMC) of an HTLV-I-seronegative patient with mycosis fungoides. DNA hybridization analysis revealed the presence of HTLV-I-related sequences with unusual restriction endonuclease sites. Sequence analysis of subcloned fragments demonstrated the presence of a monoclonally integrated provirus with a 5.5-kilobase deletion involving large regions of gag and env and all of pol. Additional evidence for the presence of deleted proviruses was found by polymerase chain reaction (PCR) amplification of DNA from cutaneous lesions of five other HTLV-I-seronegative patients. The findings suggest that HTLV-I infection may be involved in the etiology of at least certain cases of mycosis fungoides."
How does the pre-treatment PSA level correlate with treatment outcomes in prostate cancer patients receiving primary radiation therapy?,"Prostate specific antigen in the management of patients with localized adenocarcinoma of the prostate treated with primary radiation therapy. The records of 143 patients treated at 5 institutions with external beam megavoltage irradiation for localized prostatic cancer were reviewed to evaluate post-treatment changes in prostate specific antigen (PSA) in the context of subsequent events. Complete responders were defined as patients clinically well with normal PSA, clinical failures were patients with documented local tumor recurrence or distant metastases and chemical failures were patients clinically well but with a PSA level above the upper limits of normal. Correlations with pre-treatment PSA values were also made for the 50 of 143 patients for whom pre-treatment PSA data were available. Median patient followup was 27 months (range 18 to 91 months). The data were analyzed with parametric and nonparametric univariate and multivariate statistical procedures. Pre-treatment PSA levels increased with increasing tumor stage (p = 0.004) but not with increasing summed Gleason pattern scores (p = 0.15). The probability of remaining a complete responder decreased with increasing stage (p = 0.008) but not with increasing Gleason score (p = 0.14). Increasing pre-treatment PSA correlated with clinical failure (p = 0.01) and chemical failure (p = 0.006). Of the patients with a pre-treatment PSA level of less than 4 times the upper limits of normal 83% remained as complete responders compared to 30% of those with a higher pre-treatment PSA (p = 0.0002). The return of PSA levels to the normal range within 6 months after treatment was strongly correlated with a favorable outcome when analyzed by multivariate logistic regression. The status at last followup of patients who had a normal PSA level at 6 months versus those with an elevated PSA level 6 months after treatment is 94% versus 8% for complete responders (p = 0.0001), 0% versus 60% for clinical failures (p = 0.002) and 6% versus 32% for chemical failures (p = 0.14). Similar results occurred when analyzing outcomes in relationship to PSA normalization within 12 months after treatment (p = 0.001 for clinical failures, p = 0.02 for chemical failures and p = 0.001 for complete responders). We conclude that the pre-treatment level of PSA is an independent prognostic factor for prostate cancer patients treated with primary radiation therapy, and that the failure of PSA to return to the normal range within 1 year after completion of treatment identifies a group of patients at high risk for tumor recurrence."
What were the effects of DuP 753 and captopril on left ventricular end-diastolic pressure and volume in rats with heart failure?,"Hemodynamic effects of direct angiotensin II blockade compared to converting enzyme inhibition in rat model of heart failure. The purpose of this investigation was to compare the chronic effects of converting enzyme inhibition with captopril to direct blockade of angiotensin II (AII) with DuP 753 in the rat model of heart failure. Rats with chronic heart failure postinfarction were treated for 2 weeks with either captopril (2 g/L, N = 9) in their drinking water or with DuP 753 (40 mg/kg/day for two weeks by gastric gavage, N = 10), or placebo (N = 9). At this dose, DuP 753 shifted the log dose-pressor response curve to AII parallel to the right by two orders of magnitude in both chronically treated normal and heart failure rats. In rats with heart failure, DuP 753 and captopril reduced left ventricular end-diastolic pressure from 26.7 +/- 1.5 to 14.2 +/- 3.0 (P less than .01) and 15.8 +/- 2.2 mm Hg (P less than .05), respectively, left ventricular end-diastolic volume index from 2.71 +/- 0.10 to 2.03 +/- 0.17 (P less than .05) and 2.18 +/- 0.15 (P less than .05), respectively; venous compliance increased from 2.27 +/- 0.06 to 2.80 +/- 0.18 (P less than .05) and 3.02 +/- 0.21 mL/mm Hg/kg (P less than .01), respectively. There were no significant changes in left ventricular weight/body weight ratio, mean aortic pressure, heart rate, or right atrial pressure. There was a trend, but not significant, for a reduction in total blood volume from 65.8 +/- 1.1 to 59.4 +/- 3.0 and 64.9 +/- 3.9 mL/kg, respectively. Thus, direct blockade of AII with DuP 753 or with converting enzyme inhibition with captopril produces similar hemodynamic changes in rats with heart failure after myocardial infarction."
What are the major risk factors for coronary heart disease in the elderly?,"Preventive maintenance of the aging heart. Coronary heart disease (CHD) is the major cause of mortality in the elderly. Important risk factors include hypercholesterolemia, systolic and diastolic hypertension, cigarette smoking, hyperglycemia, and obesity. Elderly patients with existing CHD should be treated aggressively to control these risk factors, along with other medical therapies to treat myocardial ischemia. For elderly patients without recognized CHD, however, a more conservative approach is recommended and includes behavioral interventions when appropriate and pharmacologic therapy for higher risk patients with persistent, uncontrolled risk factors."
"How many American women are expected to be affected by ovarian cancer this year, and what is the estimated mortality rate?","Screening in ovarian cancer. Ovarian cancer will affect 20,000 American women this year and some 13,500 will die of the disease. Most patients will have stage III or IV disease at the time of diagnosis. Because ovarian cancer may be initially without symptoms, attempts have been made to develop screening tests that would lead to an early diagnosis. Two tests, serum CA 125 and pelvic ultrasonography, have been suggested by some to be accurate enough to be included in yearly screening for ovarian cancer. Although further testing of these techniques is encouraged, data to date do not justify yearly screening with CA 125 or pelvic ultrasonography in all women."
What factors were associated with less favorable crude survival in patients undergoing hepatic resection for colorectal secondaries?,"Indicators of prognosis after hepatic resection for colorectal secondaries. From 1960 to 1988, 266 patients underwent resection of colorectal secondaries to the liver with curative intent. All patients were followed until April 1, 1990, or death, with a median follow-up time of 52 months. Nine patients with minimal macroscopic residual disease and 38 patients with all gross tumor removed but positive margins showed a poor prognosis with a median survival time of 13.3 months, the longest being 42 months. Of the 219 patients having potentially curative resection, 12 patients died postoperatively (5.5%). Actuarial 5, 10 and 20-year survival for the remaining 207 patients was 39%, 28%, and 18%, respectively. At April 1, 1990, 77 patients were alive with no evidence of disease for up to 24 years, and 12 patients had died without recurrence. The following factors were associated with less favorable crude survival: presence and extent of mesenteric lymph node involvement (p = 0.0003), grade III/IV primary tumor (p = 0.035), synchronous diagnosis of metastases (p = 0.017), satellite metastases (p = 0.0003), limited resection margins (p = 0.019), and nonanatomic procedures (p = 0.013). With respect to disease-free survival, grading of the primary (p = 0.055) and the extent of clear margins (p = 0.019) failed to achieve statistical significance. Two other criteria are commonly recommended as absolute contraindications to hepatic resection: extrahepatic disease and the presence of four or more independent metastases. A radical excision of all detectable disease may rarely be possible in these circumstances. Nevertheless, within the curative settings, no significant predictive value regarding either overall or disease-free survival was found in this series. Three corresponding ""high risk"" patients are alive without disease at 5 to 11 years from hepatic resection. These patients with more advanced intrahepatic or concomitant limited extrahepatic disease require a particularly thorough diagnostic work up. As no superior therapeutic alternative is currently available, an aggressive surgical approach may occasionally be justified, and may, in a small portion, result in definite tumor control."
What was the effectiveness of palliative radiation therapy in treating epidural compression caused by metastatic malignant melanoma?,"The effect of palliative radiation therapy on epidural compression due to metastatic malignant melanoma. The efficacy of palliative radiation therapy in the treatment of spinal cord and cauda equina compression due to metastatic malignant melanoma was evaluated in 38 sites in 35 patients treated between 1970 and 1990. All patients had radiographic documentation of epidural compression. The median dose of radiation therapy was 2850 cGy (range, 500 to 4000 cGy), with daily fractions ranging from 200 to 800 cGy. Twenty-eight sites in 26 patients were evaluable 1 month after completion of radiation therapy, and symptoms responded completely in 11 of 28 (39%) sites. Fourteen sites (46%) showed a partial response of symptoms. Response lasting until death was documented in 21 of 26 patients (81%). Patients receiving a total dose of 3000 cGy or greater were more likely to achieve a complete response than those receiving less than 3000 cGy (62% versus 20%) by univariate (P = 0.025) and multivariate (P = 0.048) analyses. A treatment program of radiation therapy and corticosteroids is effective in palliating the symptoms of epidural compression due to metastatic malignant melanoma. It is recommended to deliver an accelerated course of radiation therapy to a dose of 3000 cGy or greater without exceeding spinal cord tolerance (e.g., 3000 cGy in ten fractions at 300 cGy per fraction)."
"What behavioral modification technique was used to help a patient with adipsia, diabetes insipidus, and memory impairment achieve independent drinking and be discharged from the hospital?","Management of adipsia by a behavioural modification technique. Adipsia combined with diabetes insipidus after hypothalamic damage may produce major difficulties in clinical management. If there is an associated memory impairment it may be impossible to teach self-regulation of fluid balance, necessitating long-term hospital supervision. The successful use of a behaviour modification technique to achieve independent drinking and allow discharge from hospital into the community is described in a patient with adipsia, diabetes insipidus and memory impairment resulting from the removal of a craniopharyngioma."
What was the primary objective of the study involving thermal ablation of the gallbladder in dogs?,"Thermal ablation of the gallbladder. Gallbladder ablation by means of injection of hot contrast medium was attempted in 13 dogs. Room temperature contrast medium was injected into the gallbladders of two additional dogs (controls). After midline laparotomy was performed to expose the gallbladder, temperature probes were placed in the liver adjacent to the gallbladder, and on the surface and in the lumen of the gallbladder. A 7-F catheter with multiple side holes was placed into the gallbladder. The cystic duct was clamped during the procedure. After injection of boiling contrast medium, the mean temperature in the gallbladder lumen was 80 degrees C; in the adjacent liver, 43.5 degrees C; and on the gallbladder surface, 45.8 degrees C. After the procedure, the cystic duct was unclamped, temperature probes and catheter were removed, and the laparotomy was closed in standard fashion. In the hot contrast medium group, one dog each was sacrificed at 2, 4, 8, and 12 weeks, and at 6 months. Six animals were sacrificed at 1 year. The gallbladder was completely ablated in 11 of 13 animals in the hot contrast medium group. One dog was sacrificed at 8 days because of bile leakage, and another was sacrificed at 17 days because of gallbladder rupture. The two control animals were sacrificed at 12 and 13 weeks, and their gallbladders were normal at that time."
What were the key predictors of breast cancer screening among women aged 40 and older in the Rhode Island study?,"A study guided by the Health Belief Model of the predictors of breast cancer screening of women ages 40 and older. In late 1987, a total of 852 Rhode Island women ages 40 and older were interviewed by telephone (78 percent response rate) to measure their use of breast cancer screening and to investigate potential predictors of use. Predictors included the women's socioeconomic status, use of medical care, a provider's reported recommendations for screening, and the women's health beliefs about breast cancer and mammography. The Health Belief Model guided the construction of the interview questions and data analysis. Logistic regression was used to identify leading independent predictors of breast cancer screening according to contemporary recommendations: reporting that a medical provider had ever recommended a screening mammogram (odds ratio [OR] = 18.77), having received gynecological care in the previous year (OR = 4.92), having a regular source of gynecological care (OR = 2.63), having ever had a diagnostic mammogram (OR = 2.32), and perceiving mammography as safe enough to have annually (OR = 1.93). The findings suggest that programs intended to increase the use of breast cancer screening should include ""inreach"" and ""outreach"" elements; inreach to patients with established patient-provider relationships, by assuring that physicians recommend screening to all eligible patients, and outreach to all eligible women, by helping them overcome barriers to effective primary care, and by promoting mammography, emphasizing its effectiveness and safety. The findings also suggest that socioeconomically disadvantaged women, who are less likely to be screened than other women, should become special targets of inreach and outreach interventions."
What was the effectiveness of percutaneous drainage for traumatic pancreatic pseudocysts in children according to this study?,"Percutaneous drainage of traumatic pancreatic pseudocysts in children. To determine the effectiveness of percutaneous drainage of traumatic pancreatic pseudocysts, we reviewed the courses of 13 children. Six pseudocysts resolved on complete bowel rest and total parenteral nutrition. Seven required further therapy. Two pseudocysts were treated operatively; five were drained percutaneously with fluoroscopic guidance. These five ranged from 5 to 15 cm in diameter and were present for 10 to 42 days (mean, 26 days). In all cases, the cyst fluid was clear, had an amylase level of greater than 40,000 IU/L, and grew no organisms. The pigtail catheters left in place in four of the five children were removed when drainage stopped. Patients were followed by ultrasound while still in the hospital and 1 month after discharge. There were no complications nor any pseudocyst recurrence. Percutaneous drainage of traumatic pancreatic pseudocysts in children is an effective alternative to the standard operative therapy of pseudocystenteric anastomosis."
What was the efficacy of continuous intravenous diltiazem infusion in controlling heart rate during atrial fibrillation and atrial flutter?,"A placebo-controlled trial of continuous intravenous diltiazem infusion for 24-hour heart rate control during atrial fibrillation and atrial flutter: a multicenter study. The safety and efficacy of a 10- to 15-mg/h continuous infusion of intravenous diltiazem were evaluated in 47 patients with atrial fibrillation or flutter who first responded to 20 mg or 20 mg followed by one or more 25-mg bolus doses of open label intravenous diltiazem. Of the 47 patients, 44 responded to the bolus injection and were randomized under double-blind conditions to receive either a continuous infusion of intravenous diltiazem (10 to 15 mg/h) (23 patients) or placebo (21 patients) for up to 24 h. Seventeen (74%) of the 23 patients receiving diltiazem infusion and none of the 21 with placebo infusion maintained a therapeutic response for 24 h (p less than 0.001). Over 24 h, patients receiving diltiazem infusion lost response significantly more slowly than did those receiving placebo infusion (p less than 0.001). Nonresponders to the double-blind infusion were given an additional bolus injection of open label intravenous diltiazem and administered an open label 24-h intravenous diltiazem infusion. The overall proportion of patients maintaining a response to a 24-h infusion of intravenous diltiazem under double-blind or open label conditions combined was 83% (34 of 41). Efficacy of the 24-h infusion of intravenous diltiazem was similar in elderly versus young patients, those who did versus those who did not receive digoxin and those weighing less than 84 versus greater than or equal to 84 kg. However, intravenous diltiazem appeared to be more effective in atrial fibrillation than in atrial flutter. No significant untoward effects were noted."
What are histamine H2-receptor antagonists and how do they work to reduce gastric acid secretion?,"Histamine H2-receptor antagonists. In summary, histamine initiates acid secretion by stimulating the H2 subtype histamine receptor on parietal cells. Cimetidine, rantidine, famotidine, and nizantidine are histamine H2-receptor antagonists that block this action of histamine, reducing gastric acid output and concentration under both basal and stimulated conditions. These agents are used for treatment and prevention of peptic and stress ulcers as well as for hypersecretory states. Because of their effectiveness and low incidence of side effects, H2-antagonists have largely replaced more traditional antiulcer regimens."
"What percentage of patients with parenchymal brain hemorrhage experience seizures, and in what stages do these seizures typically occur?","Seizures caused by nontraumatic parenchymal brain hemorrhages. Seizures occurred in 15% of patients with parenchymal brain hemorrhage (early in 12% and delayed in 3%). Seizures were most frequent with lobar hemorrhages and uncommon with deep subcortical hemorrhages. Lobar hemorrhages in the frontal, parietal, or temporal region were more commonly associated with seizures, whereas occipital hemorrhages were not. Seizures were most common if the hemorrhage was due to an aneurysm, angioma, or neoplasm and less common if hypertensive or spontaneous. If the patient had recurrent seizures or developed delayed seizures, CT showed that the hemorrhage evolved to a hypodense appearance; if the seizure did not recur, CT showed that the hemorrhage evolved to an isodense appearance."
What diagnostic technique was found to be more sensitive in identifying patent ductus arteriosus in an infant with atrioventricular septal defect?,Patent ductus arteriosus in an infant with atrioventricular septal defect and pulmonary hypertension: diagnosis by transesophageal color flow echocardiography. An infant with complete atrioventricular septal defect (atrioventricular canal) was examined by standard transthoracic two-dimensional pulsed Doppler and color Doppler echocardiography. No evidence of ductus arteriosus was present. Preoperative transesophageal echocardiography identified a patent ductus: the left-to-right shunt seen by color Doppler echocardiography was enhanced by pharmacologic maneuvers aimed at decreasing pulmonary vascular resistance and increasing systemic vascular resistance. Transesophageal echocardiography was found to be more sensitive than transthoracic echocardiography even in a small infant.
How did the study use ADL dependencies to determine long-term care eligibility for individuals with dementia in the Oregon Medicaid program?,"Using ADLs to establish eligibility for long-term care among the cognitively impaired. Using a database from the Oregon Medicaid program, we examined the differences in the potential insurance coverage of demented persons by using different formulations of ADL (activities of daily living) dependencies in which the definition of dependency did or did not include the need for supervision. For those with clear dementia, 81-88% of the persons with significant behavioral problems were correctly identified when a cut score of three or more ADLs was used; this percentage was even higher for two or more ADLs. This approach was not as effective in correctly discriminating those who had no behavioral problems."
What neurological and musculoskeletal complications were observed in a 75-year-old woman with untreated primary hypothyroidism?,"Neuropathy, myopathy and destructive arthropathy in primary hypothyroidism. A 75-year-old woman with untreated primary hypothyroidism was found with peripheral neuropathy (including carpal tunnel syndrome), severe myopathy (high levels of creatine phosphokinase) and destructive arthropathy, affecting fingers, toes and the left knee. Radiographs of her knee showed destructive lesions of the tibial plateau similar to a pathologic compression fracture, while the joints of the fingers and toes showed all signs of severe erosive osteoarthritis (OA), radiographically documented over a period of 7 years. It is suggested that hypothyroidism is causally related to the development of erosive OA."
What evidence suggests an autoimmune mechanism in the patient's neuromyotonia?,"Autoimmune aetiology for acquired neuromyotonia (Isaacs' syndrome). Neuromyotonia is a rare disorder of unknown cause in which hyperexcitability of peripheral motor nerves leads to incapacitating muscle twitching, cramps, and weakness. We investigated an antibody-mediated mechanism for neuromyotonia in a 24-year-old man with a 7-year history of severe disease unresponsive to pharmacological treatment. Two periods of plasma exchange each produced almost complete disappearance of symptoms for 2-3 weeks, and a highly significant decrease in recorded neuromyotonic discharges. Injection of the patient's plasma or purified IgG into mice significantly enhanced in-vitro resistance to d-tubocurarine at the neuromuscular junction of phrenic nerve-diaphragm preparations. This finding suggests that an increase in neurotransmitter release might result from an antibody-mediated reduction in the number of functional potassium channels that normally regulate nerve excitability. The demonstration of pathogenic IgG autoantibodies in acquired neuromyotonia suggests that immunosuppressive treatment may be helpful in severe cases."
What was the most common symptom among patients with lower esophageal mucosal rings in this study?,"Use of a marshmallow bolus for evaluating lower esophageal mucosal rings. Sixty-three patients (35 women, 28 men; mean age 55 yr) with lower esophageal mucosal ring shown radiographically were examined with a semi-solid bolus consisting of a portion of a standard marshmallow. The most common symptom was dysphagia, present in 46 (73%) patients. Impaction of the marshmallow bolus by the ring occurred in 40 (63%) of the 63 patients, and produced symptoms in 27 (68%) of these 40 patients. Nine (14%) rings were detected radiographically only with a solid bolus; eight of these patients had dysphagia and seven rings were 20 mm or less in caliber. Impaction related to ring caliber, and was found in all 17 (100%) rings that were 13 mm or less in diameter, in 17/24 (71%) 14- to 19-mm rings, and in 6/22 (27%) rings 20 mm or more in caliber. Endoscopy in 23 patients detected 16 (70%) rings, and also depended on ring caliber: less than or equal to 13 mm, 6/6 (100%); 14-19 mm, 5/9 (56%); greater than or equal to 20 mm, 5/8 (63%). Marshmallow impaction occurred in 17 (74%) of 23 patients who had endoscopy; three of the 23 patients had normal endoscopy. In conclusion, radiographic examination supplemented by the use of a marshmallow bolus best detects lower esophageal mucosal ring."
